,inputs,outputs,targets,acuuracy
0,"void * H264SwDecMalloc ( u32 size )  {  return malloc ( size ) ;  }
",,"void * H264SwDecMalloc ( u32 size , u32 num ) { if ( size > UINT32_MAX / num ) { return NULL ; } return malloc ( size * num ) ; }
",0
1,"tdata_t _TIFFmalloc ( tsize_t s )  {  return ( malloc ( ( size_t ) s ) ) ; }
","tdata_t _TIFFmalloc(tsize_t s) {
    // Check for s being non-negative
    if (s <= 0) {
        return NULL;
    }
    // Allocate memory of size s and return a pointer to the allocated memory block
    return malloc((size_t)s);
}
","tdata_t _TIFFmalloc ( tsize_t s ) { if ( s == 0 ) return ( ( void * ) NULL ) ; return ( malloc ( ( size_t ) s ) ) ; }
",0
2,"static void skcipher_release ( void * private ) {  crypto_free_skcipher ( private ) ;  }
","#include <linux/crypto.h>

static void skcipher_release(void *private)
{  
    if (private != NULL) {
        crypto_free_skcipher(private);
        private = NULL;
    }
}
","static void skcipher_release ( void * private ) { struct skcipher_tfm * tfm = private ; crypto_free_skcipher ( tfm -> skcipher ) ; kfree ( tfm ) ; }
",0
3,"void _modinit ( module_t * m ) { service_named_bind_command ( ""chanserv"" , & cs_flags ) ;  }
","void _modinit(module_t *m){
    service_named_bind_command(""chanserv"", &cs_flags);
}
","void _modinit ( module_t * m ) { service_named_bind_command ( ""chanserv"" , & cs_flags ) ; add_bool_conf_item ( ""ANOPE_FLAGS_COMPAT"" , & chansvs . me -> conf_table , 0 , & anope_flags_compat , true ) ; hook_add_event ( ""nick_can_register"" ) ; hook_add_nick_can_register ( check_registration_keywords ) ; hook_add_event ( ""user_can_register"" ) ; hook_add_user_can_register ( check_registration_keywords ) ; }
",0
4,"static char * print_string ( cJSON * item )  {  return print_string_ptr ( item -> valuestring ) ;  }
","static char *print_string(cJSON *item) {
    if (item == NULL || item->type != cJSON_String) {
        return NULL;
    }
    return item->valuestring;
}
","static char * print_string ( cJSON * item , printbuffer * p ) { return print_string_ptr ( item -> valuestring , p ) ; }
",0
5,"int file_is_y4m ( const char detect [ 4 ] ) {  if ( memcmp ( detect , ""YUV4"" , 4 ) == 0 ) { return 1 ; } return 0 ; }
","int file_is_y4m(const char detect[4]) {
    if (memcmp(detect, ""YUV4"", 4) == 0) {
        return 1;
    } else {
        return 0;
    }
}
","static int file_is_y4m ( const char detect [ 4 ] ) { if ( memcmp ( detect , ""YUV4"" , 4 ) == 0 ) { return 1 ; } return 0 ; }
",0
6,"static void ast_dealloc ( AST_object * self )  {  Py_CLEAR ( self -> dict ) ; Py_TYPE ( self ) -> tp_free ( self ) ; }
","# Fixed code:
def ast_dealloc(self):
    if self.dict:
        Py_CLEAR(self.dict)
    Py_TYPE(self).tp_free(self)
","static void ast_dealloc ( AST_object * self ) { PyObject_GC_UnTrack ( self ) ; Py_CLEAR ( self -> dict ) ; Py_TYPE ( self ) -> tp_free ( self ) ; }
",0
7,"static void mark_commit ( struct commit * c , void * data ) {  mark_object ( & c -> object , NULL , NULL , data ) ;  }
","//Fixed version of the program

static void mark_commit(struct commit *c, void *data) { 
    if(c != NULL) {
        mark_object(&c->object, NULL, NULL, data);
    } else {
        printf(""Error: NULL commit object""); // or any other error handling technique
    }
}
","static void mark_commit ( struct commit * c , void * data ) { mark_object ( & c -> object , NULL , data ) ; }
",0
8,"void generic_pipe_buf_get ( struct pipe_inode_info * pipe , struct pipe_buffer * buf )  {  get_page ( buf -> page ) ;  }
","void generic_pipe_buf_get(struct pipe_inode_info *pipe, struct pipe_buffer *buf) {
    if (buf->page) {
        get_page(buf->page);
    }
}
","bool generic_pipe_buf_get ( struct pipe_inode_info * pipe , struct pipe_buffer * buf ) { return try_get_page ( buf -> page ) ; }
",0
9,"static int sock_close ( struct inode * inode , struct file * filp ) {  sock_release ( SOCKET_I ( inode ) ) ;  return 0 ; }
","#include <linux/fs.h>
#include <linux/socket.h>

static int sock_close(struct inode *inode, struct file *filp) {
    struct socket *sock;
    sock = SOCKET_I(inode);
    if (sock) {
        sock_release(sock);
    }
    return 0;
}
","static int sock_close ( struct inode * inode , struct file * filp ) { __sock_release ( SOCKET_I ( inode ) , inode ) ; return 0 ; }
",0
10,"static int sock_close ( struct inode * inode , struct file * filp ) {  sock_release ( SOCKET_I ( inode ) ) ;  return 0 ; }
","/**
 * This function is called when a socket is closed. It releases the socket inode.
 *
 * @param inode The socket inode to be released.
 * @param filp  The file pointer corresponding to the socket.
 *
 * @return 0 on success.
 */
static int sock_close(struct inode *inode, struct file *filp)
{
    sock_release(SOCKET_I(inode));
    return 0;
}
","static int sock_close ( struct inode * inode , struct file * filp ) { __sock_release ( SOCKET_I ( inode ) , inode ) ; return 0 ; }
",0
11,"int pure_strcmp ( const char * const s1 , const char * const s2 ) {  return pure_memcmp ( s1 , s2 , strlen ( s1 ) + 1U ) ;  }
","#include <string.h>

int pure_strcmp (const char* s1, const char* s2) {
    size_t s1_len = strlen(s1);
    size_t s2_len = strlen(s2);
    size_t max_len = s1_len > s2_len ? s1_len : s2_len;
    int result = memcmp(s1, s2, max_len);

    if (result != 0) {
        return result;
    }

    if (s1_len == s2_len) {
        return 0;
    }

    return s1_len > s2_len ? 1 : -1;
}
","int pure_strcmp ( const char * const s1 , const char * const s2 ) { const size_t s1_len = strlen ( s1 ) ; const size_t s2_len = strlen ( s2 ) ; const size_t len = ( s1_len < s2_len ) ? s1_len : s2_len ; return pure_memcmp ( s1 , s2 , len + 1 ) ; }
",0
12,"static char * pool_strdup ( const char * s ) {  char * r = pool_alloc ( strlen ( s ) + 1 ) ;   strcpy ( r , s ) ;  return r ; }
","#include <stdlib.h>
#include <string.h>

static char * pool_strdup(const char *s) {
    size_t len = strlen(s);
    char *r = (char*)malloc(len + 1);
    if (r == NULL) {
        // handle allocation failure
        return NULL;
    }
    strcpy(r, s);
    return r;
}
","static char * pool_strdup ( const char * s ) { size_t len = strlen ( s ) + 1 ; char * r = pool_alloc ( len ) ; memcpy ( r , s , len ) ; return r ; }
",0
